"key","title","doi","url","has_pdf","match_reason"
"6234435","{The science of guessing: Analyzing an anonymized corpus of 70 million passwords}","10.1109/SP.2012.49","","True","title-match: Bonneau - 2012 - The science of guessing Analyzing an anonymized corpus of 70 million passwords-annotated.pdf"
"7467361","{Argon2: New generation of memory-hard functions for password hashing and other applications}","10.1109/EuroSP.2016.31","","True","title-match: Wetzels - 2016 - Open Sesame The Password Hashing Competition and Argon2-annotated.pdf"
"8726762","{Beatcoin: Leaking private keys from air-gapped cryptocurrency wallets}","10.1109/Cybermatics_2018.2018.00227","","False",""
"Abusalah2019","{Reversible proofs of sequential work}","10.1007/978-3-030-17656-3_10","","True","file-field: Abusalah et al. - 2019 - Reversible proofs of sequential work-annotated.pdf"
"Adams1999","{Users Are Not The Enemy}","10.1145/322796.322806","","True","file-field: Adams, Sasse - 1999 - Users Are Not The Enemy(2)-annotated.pdf"
"Akaygun2014","{Words or Pictures: A comparison of written and pictorial explanations of physical and chemical equilibria}","10.1080/09500693.2013.828361","","True","file-field: Akaygun, Jones - 2014 - Words or Pictures A comparison of written and pictorial explanations of physical and chemical equilibria-annotated.pdf"
"Allen2006","{Is the binding of visual features in working memory resource-demanding?}","10.1037/0096-3445.135.2.298","","False",""
"Arthur2023","{A critical analysis of the What3Words geocoding algorithm}","10.1371/journal.pone.0292491","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0292491","True","file-field: Arthur - 2023 - A critical analysis of the What3Words geocoding algorithm-annotated.pdf"
"Ateniese2005","{Sanitizable signatures}","10.1007/11555827_10","","True","file-field: Ateniese et al. - 2005 - Sanitizable signatures-annotated.pdf"
"Awh1998","{Rehearsal in Spatial Working Memory}","10.1037/0096-1523.24.3.780","","True","title-match: Garden, Cornoldi, Logie - 2002 - Visuo-spatial working memory in navigation-annotated.pdf"
"Bainbridge2013","{The intrinsic memorability of face photographs}","10.1037/a0033872","","False",""
"Barak2012","{On the (Im)possibility of obfuscating programs}","10.1145/2160158.2160159","","True","file-field: Barak et al. - 2012 - On the (im)possibility of obfuscating programs-annotated.pdf"
"barros_memory-hard_2023","A {Memory}-{Hard} {Function} for {Password} {Hashing} and {Key} {Derivation}","10.5753/sbseg.2023.232827","https://sol.sbc.org.br/index.php/sbseg/article/view/27233","False",""
"Bauer1993","{How Diagrams Can Improve Reasoning}","10.1111/j.1467-9280.1993.tb00584.x","","False",""
"Benhamou1995","{A comparative analysis of spatial memory processes}","10.1016/0376-6357(95)00060-7","https://www.sciencedirect.com/science/article/pii/0376635795000607","True","file-field: Benhamou, Poucet - 1995 - A comparative analysis of spatial memory processes-annotated.pdf"
"bip39","BIP 39: Mnemonic code for generating deterministic keys","","","False",""
"Blackshear2021","{Reactive Key-Loss Protection in Blockchains}","10.1007/978-3-662-63958-0_34","","False",""
"Blocki2015","{Spaced Repetition and Mnemonics Enable Recall of Multiple Strong Passwords}","10.14722/ndss.2015.23094","","False",""
"Boers2005","{Finding ways to make phrase-learning feasible: The mnemonic effect of alliteration}","10.1016/j.system.2004.12.007","https://www.sciencedirect.com/science/article/pii/S0346251X0500014X","True","file-field: Boers, Lindstromberg - 2005 - Finding ways to make phrase-learning feasible The mnemonic effect of alliteration-annotated.pdf"
"Boneh2000","{Timed commitments}","10.1007/3-540-44598-6_15","","True","file-field: Boneh, Naor - 2000 - Timed commitments(2)-annotated.pdf"
"Boneh2018","{Verifiable delay functions}","10.1007/978-3-319-96884-1_25","","True","file-field: Boneh et al. - 2018 - Verifiable delay functions-annotated.pdf"
"Bonneau2012","{Statistical metrics for individual password strength (Transcript of discussion)}","10.1007/978-3-642-35694-0_11","","True","file-field: Bonneau - 2012 - Statistical metrics for individual password strength (Transcript of discussion)-annotated.pdf"
"Bonneau2012","{The science of guessing: Analyzing an anonymized corpus of 70 million passwords}","10.1109/SP.2012.49","https://ieeexplore.ieee.org/abstract/document/6234435","True","file-field: The_Science_of_Guessing_Analyzing_an_Anonymized_Corpus_of_70_Million_Passwords-annotated.pdf"
"Bonneau2012a","{The quest to replace passwords: A framework for comparative evaluation of web authentication schemes}","10.1109/SP.2012.44","https://ieeexplore.ieee.org/document/6234436","True","title-match: The_Quest_to_Replace_Passwords_A_Framework_for_Comparative_Evaluation_of_Web_Authentication_Schemes-annotated.pdf"
"Bucciarelli2007","{How the construction of mental models improves learning}","10.1007/s11299-006-0026-y","","True","file-field: Bucciarelli - 2007 - How the construction of mental models improves learning-annotated.pdf"
"Bucciarelli2007","{How the construction of mental models improves learning}","10.1007/s11299-006-0026-y","","True","file-field: Bucciarelli - 2007 - How the construction of mental models improves learning-annotated.pdf"
"Burdges2021","{Delay Encryption}","10.1007/978-3-030-77870-5_11","","True","file-field: Burdges, De Feo - 2021 - Delay Encryption-annotated.pdf"
"Cartwright1982","{How honey bees use landmarks to guide their return to a food source}","10.1038/295560A0","","False",""
"Cathalo2005","{Efficient and non-interactive timed-release encryption}","10.1007/11602897_25","","True","file-field: Cathalo, Libert, Quisquater - 2005 - Efficient and non-interactive timed-release encryption-annotated.pdf"
"Cheng2018","{A Memory-Hard Blockchain Protocol}","10.1109/SEGE.2018.8499411","","False",""
"Cheon2008","{Provably secure timed-release public key encryption}","10.1145/1330332.1330336","","True","file-field: Cheon et al. - 2008 - Provably secure timed-release public key encryption-annotated.pdf"
"Choe2019","{Attacking Memory-Hard scrypt with Near-Data-Processing}","10.1145/3357526.3357570","https://dl.acm.org/doi/pdf/10.1145/3357526.3357570","True","file-field: Choe et al. - 2019 - Attacking Memory-Hard scrypt with Near-Data-Processing-annotated.pdf"
"Choi2020","{Timed-Release Encryption with Master Time Bound Key}","10.1007/978-3-030-39303-8_13","","True","file-field: Choi, Vaudenay - 2020 - Timed-Release Encryption with Master Time Bound Key-annotated.pdf"
