"key","title","doi","url","has_pdf","match_reason"
"8726762","{Beatcoin: Leaking private keys from air-gapped cryptocurrency wallets}","10.1109/Cybermatics_2018.2018.00227","","False",""
"Allen2006","{Is the binding of visual features in working memory resource-demanding?}","10.1037/0096-3445.135.2.298","","False",""
"Bainbridge2013","{The intrinsic memorability of face photographs}","10.1037/a0033872","","False",""
"barros_memory-hard_2023","A {Memory}-{Hard} {Function} for {Password} {Hashing} and {Key} {Derivation}","10.5753/sbseg.2023.232827","https://sol.sbc.org.br/index.php/sbseg/article/view/27233","False",""
"Bauer1993","{How Diagrams Can Improve Reasoning}","10.1111/j.1467-9280.1993.tb00584.x","","False",""
"bip39","BIP 39: Mnemonic code for generating deterministic keys","","","False",""
"Blackshear2021","{Reactive Key-Loss Protection in Blockchains}","10.1007/978-3-662-63958-0_34","","False",""
"Blocki2015","{Spaced Repetition and Mnemonics Enable Recall of Multiple Strong Passwords}","10.14722/ndss.2015.23094","","False",""
"Cartwright1982","{How honey bees use landmarks to guide their return to a food source}","10.1038/295560A0","","False",""
"Cheng2018","{A Memory-Hard Blockchain Protocol}","10.1109/SEGE.2018.8499411","","False",""
"Christou2000","{Using Realistic Virtual Environments in the Study of Spatial Encoding}","10.1007/3-540-45460-8_23","","False",""
"Das2024","{Shared-Custodial Password-Authenticated Deterministic Wallets}","10.1007/978-3-031-71073-5_16","https://link.springer.com/10.1007/978-3-031-71073-5_16","False",""
"Deb2021","{PoSAT: Proof-of-Work Availability and Unpredictability, Without the Work}","10.1007/978-3-662-64331-0_6","","False",""
"Durmuth2015","{On password guessing with GPUs and FPGAs}","10.1007/978-3-319-24192-0_2","","False",""
"Efremova2018","{A geo-tagging framework for address extraction from web pages}","10.1007/978-3-319-95786-9_22","","False",""
"Erwig2022","{Deterministic Wallets for Adaptor Signatures}","10.1007/978-3-031-17146-8_24","https://link.springer.com/chapter/10.1007/978-3-031-17146-8_24","False",""
"Gasser1975","{A Random Word Generator for Pronounceable Passwords}","10.21236/ADA017676","http://www.dtic.mil/cgi-bin/GetTRDoc?AD=ADA017676","False",""
"Guan2024","{On Sequential Functions and Fine-Grained Cryptography}","10.1007/978-3-031-68388-6_14","","False",""
"Gutoski2015","{Hierarchical deterministic bitcoin wallets that tolerate key leakage}","10.1007/978-3-662-47854-7_31","","False",""
"Han2019","{Demystifying Crypto-Mining: Analysis and Optimizations of Memory-Hard PoW Algorithms}","10.1109/ISPASS.2019.00011","","False",""
"Iani2019","{Mnemonic effects of action simulation from pictures and phrases}","10.1016/j.actpsy.2019.01.012","https://www.sciencedirect.com/science/article/pii/S0001691818303330","False",""
"Jaques2021","{Time-Release Cryptography from Minimal Circuit Assumptions}","10.1007/978-3-030-92518-5_26","","False",""
"Karantias2020","{Financial Cryptography and Data Security 2013}","10.1007/978-3-662-54970-4","https://dx.doi.org/10.1007/978-3-642-39884-1","False",""
"Komiya2021","{Memorability of Japanese Mnemonic Passwords}","10.1007/978-3-030-77074-7_32","","False",""
"Lai2019","{A fully decentralized time-lock encryption system on blockchain}","10.1109/Blockchain.2019.00047","","False",""
"Leidner2021","{A survey of textual data & geospatial technology}","10.1007/978-3-030-55462-0_16","","False",""
"Li2025","{From Signature with Re-randomizable Keys: Generic Construction of PDPKS}","10.1007/978-981-96-4731-6_6","","False",""
"McNamara2003","{How Are the Locations of Objects in the Environment Represented in Memory?}","10.1007/3-540-45004-1_11","https://link.springer.com/chapter/10.1007/3-540-45004-1_11","False",""
"McNaughton1991","{""Dead reckoning,"" landmark learning, and the sense of direction: A neurophysiological and computational hypothesis}","10.1162/JOCN.1991.3.2.190","","False",""
"Qiu2016","{GPU-based high performance password recovery technique for hash functions}","","https://www.researchgate.net/publication/292761539_GPU-Based_High_Performance_Password_Recovery_Technique_for_Hash_Functions","False",""
"Shannon1948","{A Mathematical Theory of Communication}","10.1002/j.1538-7305.1948.tb01338.x","/doi/pdf/10.1002/j.1538-7305.1948.tb01338.x https://onlinelibrary.wiley.com/doi/abs/10.1002/j.1538-7305.1948.tb01338.x https://onlinelibrary.wiley.com/doi/10.1002/j.1538-7305.1948.tb01338.x","False",""
"Song2018","{Optimization and Guess-then-Solve Attacks in Cryptanalysis}","","","False",""
"Turuani2016","{Automated verification of electrum wallet}","10.1007/978-3-662-53357-4_3","","False",""
"Vasek2017","{The bitcoin brain drain: Examining the use and abuse of bitcoin brain wallets}","10.1007/978-3-662-54970-4_36","https://link.springer.com/chapter/10.1007/978-3-662-54970-4_36","False",""
"WGS84","Department of Defense World Geodetic System 1984: its definition and relationships with local geodetic systems","","","False",""
