"key","doi","status","saved_file","source_url","tried_count"
"8726762","10.1109/Cybermatics_2018.2018.00227","not_found","","","1"
"Allen2006","10.1037/0096-3445.135.2.298","not_found","","","1"
"Bainbridge2013","10.1037/a0033872","not_found","","","1"
"barros_memory-hard_2023","10.5753/sbseg.2023.232827","not_found","","","2"
"Bauer1993","10.1111/j.1467-9280.1993.tb00584.x","not_found","","","1"
"bip39","","not_found","","","0"
"Blackshear2021","10.1007/978-3-662-63958-0_34","not_found","","","2"
"Blocki2015","10.14722/ndss.2015.23094","not_found","","","1"
"Cartwright1982","10.1038/295560A0","not_found","","","1"
"Cheng2018","10.1109/SEGE.2018.8499411","not_found","","","1"
"Christou2000","10.1007/3-540-45460-8_23","not_found","","","2"
"Das2024","10.1007/978-3-031-71073-5_16","not_found","","","3"
"Deb2021","10.1007/978-3-662-64331-0_6","not_found","","","2"
"Durmuth2015","10.1007/978-3-319-24192-0_2","not_found","","","2"
"Efremova2018","10.1007/978-3-319-95786-9_22","not_found","","","2"
"Erwig2022","10.1007/978-3-031-17146-8_24","not_found","","","3"
"Gasser1975","10.21236/ADA017676","not_found","","","2"
"Guan2024","10.1007/978-3-031-68388-6_14","not_found","","","2"
"Gutoski2015","10.1007/978-3-662-47854-7_31","not_found","","","2"
"Han2019","10.1109/ISPASS.2019.00011","not_found","","","1"
"Iani2019","10.1016/j.actpsy.2019.01.012","not_found","","","2"
"Jaques2021","10.1007/978-3-030-92518-5_26","not_found","","","2"
"Karantias2020","10.1007/978-3-662-54970-4","not_found","","","3"
"Komiya2021","10.1007/978-3-030-77074-7_32","not_found","","","2"
"Lai2019","10.1109/Blockchain.2019.00047","not_found","","","1"
"Leidner2021","10.1007/978-3-030-55462-0_16","not_found","","","2"
"Li2025","10.1007/978-981-96-4731-6_6","not_found","","","2"
"McNamara2003","10.1007/3-540-45004-1_11","not_found","","","3"
"McNaughton1991","10.1162/JOCN.1991.3.2.190","not_found","","","1"
"Qiu2016","","not_found","","","1"
"Shannon1948","10.1002/j.1538-7305.1948.tb01338.x","not_found","","","3"
"Song2018","","not_found","","","0"
"Turuani2016","10.1007/978-3-662-53357-4_3","not_found","","","2"
"Vasek2017","10.1007/978-3-662-54970-4_36","not_found","","","3"
"WGS84","","not_found","","","0"
