mem_mib,k,rep,call_idx,call_time_ms
64,1,1,1,76.106839
64,1,2,1,73.715617
64,1,3,1,73.126468
64,1,4,1,72.514736
64,1,5,1,72.522722
64,1,6,1,72.092893
64,1,7,1,87.147209
64,1,8,1,75.444796
64,1,9,1,72.725711
64,1,10,1,71.237269
64,1,11,1,72.593457
64,1,12,1,74.061399
64,1,13,1,71.865449
64,1,14,1,71.645087
64,1,15,1,72.100374
64,1,16,1,71.190108
64,1,17,1,71.114519
64,1,18,1,70.754263
64,1,19,1,71.838802
64,1,20,1,87.141336
64,1,21,1,71.142503
64,1,22,1,71.198802
64,1,23,1,71.820758
64,1,24,1,71.290363
64,1,25,1,69.438592
64,1,26,1,72.429984
64,1,27,1,72.597941
64,1,28,1,72.018968
64,1,29,1,72.325626
64,1,30,1,71.565147
64,1,31,1,72.356090
64,1,32,1,94.035323
64,1,33,1,72.369175
64,1,34,1,72.390790
64,1,35,1,69.387459
64,1,36,1,72.837312
64,1,37,1,72.678867
64,1,38,1,72.502940
64,1,39,1,82.547487
64,1,40,1,70.365139
64,1,41,1,72.339364
64,1,42,1,72.299134
64,1,43,1,71.799518
64,1,44,1,74.533266
64,1,45,1,84.171730
64,1,46,1,73.335762
64,1,47,1,70.307842
64,1,48,1,88.325373
64,1,49,1,71.521512
64,1,50,1,72.487766
64,3,1,1,73.737031
64,3,1,2,72.440967
64,3,1,3,70.355075
64,3,2,1,71.539058
64,3,2,2,70.588932
64,3,2,3,69.440819
64,3,3,1,71.754148
64,3,3,2,72.268617
64,3,3,3,71.066114
64,3,4,1,70.196690
64,3,4,2,71.247271
64,3,4,3,87.095168
64,3,5,1,69.867617
64,3,5,2,71.012949
64,3,5,3,71.477862
64,3,6,1,70.218246
64,3,6,2,71.071890
64,3,6,3,69.591725
64,3,7,1,71.648818
64,3,7,2,75.287166
64,3,7,3,72.247600
64,3,8,1,69.176295
64,3,8,2,71.511850
64,3,8,3,71.276835
64,3,9,1,71.180840
64,3,9,2,70.266683
64,3,9,3,70.451725
64,3,10,1,73.218002
64,3,10,2,71.389296
64,3,10,3,69.688798
64,3,11,1,70.966594
64,3,11,2,71.330060
64,3,11,3,70.252628
