mem_mib,k,reps,mean_ms,std_ms,p50_ms,p95_ms
64,1,50,73.987191,5.1913808981,72.356090,87.147209
64,3,50,215.957328,5.2524592849,214.281411,230.935754
64,5,50,358.533851,5.1652610224,357.327162,363.243670
64,10,50,720.962727,7.9385501738,718.607487,737.818293
64,30,50,2161.155136,14.7442950717,2162.488132,2185.324582
64,60,50,4365.849618,25.1174391504,4368.968114,4396.632342
256,1,50,303.166683,3.3420066663,303.448464,308.464556
256,3,50,910.820057,21.1595040120,905.838085,956.310478
256,5,50,1541.727714,28.0466129333,1541.893379,1605.640534
256,10,50,3232.856018,48.8316523654,3238.881813,3311.644500
256,30,50,9157.836972,202.5638949436,9087.025519,9638.526987
256,60,50,17911.851076,159.6114531600,17858.906357,18303.378382
1024,1,50,1234.864918,47.0833219262,1219.801778,1391.533569
1024,3,50,3672.639683,55.3024272349,3658.035371,3837.279086
1024,5,50,6103.792369,60.6712098314,6084.621180,6275.350786
1024,10,50,12564.245116,385.8094585536,12450.170049,13201.453347
1024,30,50,37518.227908,991.0305876590,36972.278559,39682.042809
1024,60,50,75362.651267,1801.1936005645,74648.550538,78473.590630
8192,1,50,10534.327571,620.8599749936,10269.612506,12062.989152
8192,3,50,31377.922741,886.6386576779,30889.881120,32772.650090
8192,5,50,52011.872762,1119.1094693388,51488.250740,54362.687637
8192,10,50,105616.495764,2830.8246692934,104899.448727,112016.043043
8192,30,50,314194.929825,5529.8016426253,311368.639709,325860.415091
8192,60,50,629644.658497,7199.2026643685,627466.190604,642822.299538
