k,rep,call_idx,call_time_ms
1,1,1,1202.360387
1,2,1,1380.288582
1,3,1,1207.314238
1,4,1,1210.993125
1,5,1,1214.496152
1,6,1,1204.662962
1,7,1,1215.700448
1,8,1,1203.619188
1,9,1,1212.889558
1,10,1,1383.040275
1,11,1,1200.606008
1,12,1,1212.974493
1,13,1,1209.826957
1,14,1,1202.596369
1,15,1,1218.926072
1,16,1,1213.524541
1,17,1,1213.660506
1,18,1,1385.447619
1,19,1,1215.810079
1,20,1,1215.721350
1,21,1,1203.547600
1,22,1,1212.861407
1,23,1,1382.032365
1,24,1,1212.240248
1,25,1,1213.806452
1,26,1,1207.910430
1,27,1,1218.894353
1,28,1,1207.472363
1,29,1,1201.102488
1,30,1,1212.361962
1,31,1,1208.204526
1,32,1,1222.235345
1,33,1,1214.871373
1,34,1,1210.191297
1,35,1,1215.112384
1,36,1,1206.962314
1,37,1,1218.228561
1,38,1,1216.482985
1,39,1,1214.584704
1,40,1,1208.267844
1,41,1,1214.144371
1,42,1,1213.833166
1,43,1,1205.651416
1,44,1,1210.919997
1,45,1,1383.895093
1,46,1,1210.328280
1,47,1,1210.860760
1,48,1,1205.431082
1,49,1,1391.179258
1,50,1,1379.352544
3,1,1,1211.630458
3,1,2,1205.538436
3,1,3,1200.359864
3,2,1,1201.054669
3,2,2,1215.888192
3,2,3,1202.703532
3,3,1,1385.494251
3,3,2,1207.461850
3,3,3,1201.014359
3,4,1,1215.884370
3,4,2,1210.907520
3,4,3,1207.333391
3,5,1,1383.023738
3,5,2,1202.457019
3,5,3,1206.550645
3,6,1,1202.974567
3,6,2,1206.722126
3,6,3,1217.886409
3,7,1,1215.371684
3,7,2,1217.063542
3,7,3,1210.039092
3,8,1,1206.667208
3,8,2,1224.848151
3,8,3,1202.335759
3,9,1,1223.375144
3,9,2,1211.765439
3,9,3,1210.121343
3,10,1,1204.942139
3,10,2,1209.602348
3,10,3,1212.633413
3,11,1,1388.256870
3,11,2,1202.697554
3,11,3,1202.373090
3,12,1,1384.311989
3,12,2,1202.352625
3,12,3,1215.534342
3,13,1,1218.071190
3,13,2,1211.016305
3,13,3,1203.697719
3,14,1,1207.657979
3,14,2,1204.317437
3,14,3,1364.235373
3,15,1,1230.359019
3,15,2,1211.175036
3,15,3,1207.069948
3,16,1,1384.958845
3,16,2,1205.342511
3,16,3,1218.322052
3,17,1,1213.770934
3,17,2,1210.364407
3,17,3,1216.995904
3,18,1,1227.711408
3,18,2,1208.552696
3,18,3,1202.274415
3,19,1,1388.686866
3,19,2,1205.519395
3,19,3,1202.810028
3,20,1,1235.521354
3,20,2,1212.340035
3,20,3,1206.026480
3,21,1,1218.530025
3,21,2,1215.982814
3,21,3,1203.322400
3,22,1,1386.978805
3,22,2,1210.349821
3,22,3,1211.494482
3,23,1,1385.697344
3,23,2,1213.869170
3,23,3,1204.395636
3,24,1,1212.816553
3,24,2,1209.548974
3,24,3,1212.984702
3,25,1,1217.912008
3,25,2,1208.630655
3,25,3,1213.632077
3,26,1,1213.623134
3,26,2,1207.328475
3,26,3,1208.288558
3,27,1,1208.199703
3,27,2,1210.593417
3,27,3,1208.539063
3,28,1,1222.963283
3,28,2,1203.852256
3,28,3,1205.810515
3,29,1,1227.562768
3,29,2,1204.735492
3,29,3,1203.457105
3,30,1,1386.395304
3,30,2,1230.006554
3,30,3,1209.116678
3,31,1,1216.829523
3,31,2,1387.562746
3,31,3,1216.113193
3,32,1,1207.245480
3,32,2,1208.718926
3,32,3,1218.719881
3,33,1,1218.984941
3,33,2,1217.105206
3,33,3,1212.847793
3,34,1,1369.572639
3,34,2,1216.243126
3,34,3,1228.060145
3,35,1,1381.615863
3,35,2,1211.042339
3,35,3,1220.259493
3,36,1,1217.166383
3,36,2,1213.716753
3,36,3,1208.472975
3,37,1,1213.040010
3,37,2,1216.674177
3,37,3,1203.999339
3,38,1,1214.939609
3,38,2,1211.376249
3,38,3,1208.386517
3,39,1,1212.950215
3,39,2,1205.606175
3,39,3,1199.067799
3,40,1,1207.738977
3,40,2,1211.890212
3,40,3,1204.341100
3,41,1,1224.759398
3,41,2,1212.151847
3,41,3,1215.752950
3,42,1,1220.547418
3,42,2,1213.535568
3,42,3,1216.689675
3,43,1,1217.618152
3,43,2,1206.105258
3,43,3,1208.082675
3,44,1,1218.761822
3,44,2,1216.984143
3,44,3,1214.676585
3,45,1,1384.047972
3,45,2,1215.621469
3,45,3,1209.385498
3,46,1,1207.770968
3,46,2,1203.989561
3,46,3,1211.182899
3,47,1,1217.724264
3,47,2,1203.482852
3,47,3,1203.636418
3,48,1,1384.950545
3,48,2,1203.961402
3,48,3,1212.711479
3,49,1,1207.056417
3,49,2,1206.087945
3,49,3,1206.205080
3,50,1,1289.199368
