k,rep,total_measured_ms,total_predicted_ms,ratio
1,1,1202.360387,1208.564122,.994866
1,2,1380.288582,1208.564122,1.142089
1,3,1207.314238,1208.564122,.998965
1,4,1210.993125,1208.564122,1.002009
1,5,1214.496152,1208.564122,1.004908
1,6,1204.662962,1208.564122,.996772
1,7,1215.700448,1208.564122,1.005904
1,8,1203.619188,1208.564122,.995908
1,9,1212.889558,1208.564122,1.003578
1,10,1383.040275,1208.564122,1.144366
1,11,1200.606008,1208.564122,.993415
1,12,1212.974493,1208.564122,1.003649
1,13,1209.826957,1208.564122,1.001044
1,14,1202.596369,1208.564122,.995062
1,15,1218.926072,1208.564122,1.008573
1,16,1213.524541,1208.564122,1.004104
1,17,1213.660506,1208.564122,1.004216
1,18,1385.447619,1208.564122,1.146358
1,19,1215.810079,1208.564122,1.005995
1,20,1215.721350,1208.564122,1.005922
1,21,1203.547600,1208.564122,.995849
1,22,1212.861407,1208.564122,1.003555
1,23,1382.032365,1208.564122,1.143532
1,24,1212.240248,1208.564122,1.003041
1,25,1213.806452,1208.564122,1.004337
1,26,1207.910430,1208.564122,.999459
1,27,1218.894353,1208.564122,1.008547
1,28,1207.472363,1208.564122,.999096
1,29,1201.102488,1208.564122,.993826
1,30,1212.361962,1208.564122,1.003142
1,31,1208.204526,1208.564122,.999702
1,32,1222.235345,1208.564122,1.011311
1,33,1214.871373,1208.564122,1.005218
1,34,1210.191297,1208.564122,1.001346
1,35,1215.112384,1208.564122,1.005418
1,36,1206.962314,1208.564122,.998674
1,37,1218.228561,1208.564122,1.007996
1,38,1216.482985,1208.564122,1.006552
1,39,1214.584704,1208.564122,1.004981
1,40,1208.267844,1208.564122,.999754
1,41,1214.144371,1208.564122,1.004617
1,42,1213.833166,1208.564122,1.004359
1,43,1205.651416,1208.564122,.997589
1,44,1210.919997,1208.564122,1.001949
1,45,1383.895093,1208.564122,1.145073
1,46,1210.328280,1208.564122,1.001459
1,47,1210.860760,1208.564122,1.001900
1,48,1205.431082,1208.564122,.997407
1,49,1391.179258,1208.564122,1.151100
1,50,1379.352544,1208.564122,1.141315
3,1,3617.528758,3625.692366,.997748
3,2,3619.646393,3625.692366,.998332
3,3,3793.970460,3625.692366,1.046412
3,4,3634.125281,3625.692366,1.002325
3,5,3792.031402,3625.692366,1.045877
3,6,3627.583102,3625.692366,1.000521
3,7,3642.474318,3625.692366,1.004628
3,8,3633.851118,3625.692366,1.002250
3,9,3645.261926,3625.692366,1.005397
3,10,3627.177900,3625.692366,1.000409
3,11,3793.327514,3625.692366,1.046235
3,12,3802.198956,3625.692366,1.048682
3,13,3632.785214,3625.692366,1.001956
3,14,3776.210789,3625.692366,1.041514
3,15,3648.604003,3625.692366,1.006319
3,16,3808.623408,3625.692366,1.050454
3,17,3641.131245,3625.692366,1.004258
3,18,3638.538519,3625.692366,1.003543
3,19,3797.016289,3625.692366,1.047252
3,20,3653.887869,3625.692366,1.007776
3,21,3637.835239,3625.692366,1.003349
3,22,3808.823108,3625.692366,1.050509
3,23,3803.962150,3625.692366,1.049168
3,24,3635.350229,3625.692366,1.002663
3,25,3640.174740,3625.692366,1.003994
3,26,3629.240167,3625.692366,1.000978
3,27,3627.332183,3625.692366,1.000452
3,28,3632.626054,3625.692366,1.001912
3,29,3635.755365,3625.692366,1.002775
3,30,3825.518536,3625.692366,1.055113
3,31,3820.505462,3625.692366,1.053731
3,32,3634.684287,3625.692366,1.002480
3,33,3648.937940,3625.692366,1.006411
3,34,3813.875910,3625.692366,1.051902
3,35,3812.917695,3625.692366,1.051638
3,36,3639.356111,3625.692366,1.003768
3,37,3633.713526,3625.692366,1.002212
3,38,3634.702375,3625.692366,1.002485
3,39,3617.624189,3625.692366,.997774
3,40,3623.970289,3625.692366,.999525
3,41,3652.664195,3625.692366,1.007439
3,42,3650.772661,3625.692366,1.006917
3,43,3631.806085,3625.692366,1.001686
3,44,3650.422550,3625.692366,1.006820
3,45,3809.054939,3625.692366,1.050573
3,46,3622.943428,3625.692366,.999241
3,47,3624.843534,3625.692366,.999765
3,48,3801.623426,3625.692366,1.048523
3,49,3619.349442,3625.692366,.998250
3,50,3698.988009,3625.692366,1.020215
5,1,6053.303388,6042.820610,1.001734
5,2,6047.889135,6042.820610,1.000838
5,3,6073.844094,6042.820610,1.005133
5,4,6073.501268,6042.820610,1.005077
5,5,6350.703929,6042.820610,1.050950
5,6,6253.942146,6042.820610,1.034937
5,7,6048.257178,6042.820610,1.000899
5,8,6095.256433,6042.820610,1.008677
5,9,6078.268970,6042.820610,1.005866
5,10,6067.937909,6042.820610,1.004156
5,11,6080.005113,6042.820610,1.006153
5,12,6063.121917,6042.820610,1.003359
5,13,6104.072001,6042.820610,1.010136
5,14,6073.574950,6042.820610,1.005089
5,15,6045.393929,6042.820610,1.000425
5,16,6066.650625,6042.820610,1.003943
5,17,6058.376599,6042.820610,1.002574
5,18,6093.428006,6042.820610,1.008374
5,19,6054.999226,6042.820610,1.002015
5,20,6052.308380,6042.820610,1.001570
5,21,6034.677539,6042.820610,.998652
5,22,6051.756444,6042.820610,1.001478
5,23,6074.444542,6042.820610,1.005233
5,24,6062.188810,6042.820610,1.003205
5,25,6054.434138,6042.820610,1.001921
5,26,6057.297260,6042.820610,1.002395
5,27,6073.858732,6042.820610,1.005136
5,28,6056.225789,6042.820610,1.002218
5,29,6081.255681,6042.820610,1.006360
5,30,6083.253163,6042.820610,1.006691
5,31,6068.634135,6042.820610,1.004271
5,32,6114.188441,6042.820610,1.011810
5,33,6092.318588,6042.820610,1.008191
5,34,6046.660785,6042.820610,1.000635
5,35,6086.923975,6042.820610,1.007298
5,36,6088.759405,6042.820610,1.007602
5,37,6058.493140,6042.820610,1.002593
5,38,6055.618774,6042.820610,1.002117
5,39,6051.480829,6042.820610,1.001433
5,40,6071.337479,6042.820610,1.004719
5,41,6062.862521,6042.820610,1.003316
5,42,6061.143935,6042.820610,1.003032
5,43,6046.640966,6042.820610,1.000632
5,44,6059.747261,6042.820610,1.002801
5,45,6071.241124,6042.820610,1.004703
5,46,6060.397223,6042.820610,1.002908
5,47,6088.829870,6042.820610,1.007613
5,48,6078.967614,6042.820610,1.005981
5,49,6081.538603,6042.820610,1.006407
5,50,6083.196811,6042.820610,1.006681
10,1,12168.926557,12085.641220,1.006891
10,2,12147.207729,12085.641220,1.005094
10,3,12145.993303,12085.641220,1.004993
10,4,12202.400863,12085.641220,1.009661
10,5,12184.296453,12085.641220,1.008163
10,6,12138.256430,12085.641220,1.004353
10,7,12176.341768,12085.641220,1.007504
10,8,12194.758886,12085.641220,1.009028
10,9,12184.169699,12085.641220,1.008152
10,10,12166.716520,12085.641220,1.006708
10,11,12204.400620,12085.641220,1.009826
10,12,12204.515101,12085.641220,1.009835
10,13,12174.194793,12085.641220,1.007327
10,14,12157.210329,12085.641220,1.005921
10,15,12176.761258,12085.641220,1.007539
10,16,12059.940784,12085.641220,.997873
10,17,12144.076585,12085.641220,1.004835
10,18,12162.743237,12085.641220,1.006379
10,19,12098.665740,12085.641220,1.001077
10,20,12154.878110,12085.641220,1.005728
10,21,12170.700458,12085.641220,1.007038
10,22,12145.284382,12085.641220,1.004935
10,23,12154.931106,12085.641220,1.005733
10,24,12095.998960,12085.641220,1.000857
10,25,12223.950314,12085.641220,1.011444
10,26,12118.692842,12085.641220,1.002734
10,27,12134.415418,12085.641220,1.004035
10,28,12086.227995,12085.641220,1.000048
10,29,12093.557281,12085.641220,1.000654
10,30,12190.032022,12085.641220,1.008637
10,31,12091.370438,12085.641220,1.000474
10,32,12160.849830,12085.641220,1.006222
10,33,12169.130924,12085.641220,1.006908
10,34,12116.676489,12085.641220,1.002567
10,35,12108.870270,12085.641220,1.001922
10,36,12119.428957,12085.641220,1.002795
10,37,12093.314860,12085.641220,1.000634
10,38,12117.366994,12085.641220,1.002625
10,39,12099.554296,12085.641220,1.001151
10,40,12125.809124,12085.641220,1.003323
10,41,12132.589853,12085.641220,1.003884
10,42,12155.705998,12085.641220,1.005797
10,43,12133.302915,12085.641220,1.003943
10,44,12154.732167,12085.641220,1.005716
10,45,12239.578520,12085.641220,1.012737
10,46,12109.746610,12085.641220,1.001994
10,47,12291.874076,12085.641220,1.017064
10,48,12122.865671,12085.641220,1.003080
10,49,12279.389736,12085.641220,1.016031
10,50,12323.374074,12085.641220,1.019670
30,1,36390.931021,36256.923660,1.003696
30,2,36415.312754,36256.923660,1.004368
30,3,36718.437462,36256.923660,1.012728
30,4,38029.855393,36256.923660,1.048899
30,5,37228.321061,36256.923660,1.026792
30,6,38093.323043,36256.923660,1.050649
30,7,37789.166819,36256.923660,1.042260
30,8,38421.297202,36256.923660,1.059695
30,9,37526.916941,36256.923660,1.035027
30,10,36744.088287,36256.923660,1.013436
30,11,36441.762915,36256.923660,1.005098
30,12,36589.075160,36256.923660,1.009161
30,13,36465.379102,36256.923660,1.005749
30,14,36482.132194,36256.923660,1.006211
